209
         1795833 function calls (1789738 primitive calls) in 5.394 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1881    0.009    0.000    0.077    0.000 fromnumeric.py:3014(mean)
     1881    0.009    0.000    0.068    0.000 _methods.py:58(_mean)
        1    0.000    0.000    0.067    0.067 __init__.py:63(<module>)
        1    0.000    0.000    0.064    0.064 collection.py:4(<module>)
      250    0.003    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      361    0.003    0.000    0.049    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      356    0.000    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      356    0.002    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        2    0.000    0.000    0.042    0.021 imp.py:219(load_module)
        2    0.000    0.000    0.042    0.021 imp.py:330(load_dynamic)
        2    0.000    0.000    0.042    0.021 <frozen importlib._bootstrap>:686(_load)
     1881    0.001    0.000    0.039    0.000 numeric.py:541(asanyarray)
     1987    0.038    0.000    0.038    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.038    0.038 __init__.py:7(<module>)
        1    0.000    0.000    0.038    0.038 __init__.py:4(<module>)
        1    0.000    0.000    0.038    0.038 __init__.py:6(swig_import_helper)
      175    0.001    0.000    0.037    0.000 re.py:271(_compile)
      725    0.008    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
  688/685    0.014    0.000    0.036    0.000 {built-in method builtins.__build_class__}
       59    0.000    0.000    0.035    0.001 re.py:232(compile)
       62    0.000    0.000    0.035    0.001 sre_compile.py:759(compile)
      250    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.034    0.034    0.034    0.034 pasturestats.py:174(<listcomp>)
      250    0.033    0.000    0.033    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.026    0.013 __init__.py:45(<module>)
        1    0.000    0.000    0.025    0.025 multiarray.py:7(<module>)
        1    0.000    0.000    0.024    0.024 overrides.py:1(<module>)
        1    0.000    0.000    0.023    0.023 __init__.py:2(<module>)
   105337    0.022    0.000    0.022    0.000 pasturestats.py:186(<genexpr>)
        2    0.000    0.000    0.021    0.010 path.py:1(<module>)
        1    0.000    0.000    0.018    0.018 loader.py:2(<module>)
       62    0.000    0.000    0.017    0.000 sre_compile.py:598(_code)
       62    0.000    0.000    0.017    0.000 sre_parse.py:919(parse)
   222/62    0.001    0.000    0.016    0.000 sre_parse.py:417(_parse_sub)
   287/67    0.006    0.000    0.016    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.015    0.015 __init__.py:49(<module>)
     1402    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     1415    0.014    0.000    0.014    0.000 {built-in method posix.stat}
      250    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.012    0.012 converters.py:3(<module>)
        1    0.000    0.000    0.012    0.012 _make.py:1(<module>)
   466/62    0.003    0.000    0.011    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.011    0.011 crs.py:11(<module>)
     1881    0.011    0.000    0.011    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.011    0.011 io.py:4(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:41(<module>)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
        1    0.000    0.000    0.010    0.010 case.py:1(<module>)
     3698    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      241    0.009    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.010    0.010 utils.py:4(<module>)
        1    0.000    0.000    0.010    0.010 npyio.py:1(<module>)
       16    0.000    0.000    0.010    0.001 _make.py:890(wrap)
   114700    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.009    0.009 vrt.py:1(<module>)
        1    0.000    0.000    0.009    0.009 tempfile.py:24(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:10(<module>)
        2    0.000    0.000    0.009    0.004 _compat.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _datasource.py:35(<module>)
        2    0.000    0.000    0.008    0.004 compat.py:1(<module>)
        1    0.000    0.000    0.008    0.008 main.py:1(<module>)
        1    0.000    0.000    0.008    0.008 reader.py:18(<module>)
        1    0.000    0.000    0.008    0.008 reader.py:45(Reader)
        1    0.000    0.000    0.008    0.008 shutil.py:5(<module>)
      309    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
        1    0.000    0.000    0.007    0.007 random.py:38(<module>)
        1    0.000    0.000    0.007    0.007 errors.py:1(<module>)
        1    0.000    0.000    0.007    0.007 py3k.py:4(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:86(<module>)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
        1    0.001    0.001    0.006    0.006 osr.py:11(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:13(<module>)
        2    0.002    0.001    0.006    0.003 env.py:1(<module>)
        1    0.000    0.000    0.006    0.006 drvsupport.py:3(<module>)
        1    0.000    0.000    0.006    0.006 drvsupport.py:147(_filter_supported_drivers)
     1881    0.006    0.000    0.006    0.000 _methods.py:48(_count_reduce_items)
        1    0.000    0.000    0.006    0.006 __init__.py:15(<module>)
       62    0.000    0.000    0.006    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
        1    0.000    0.000    0.006    0.006 core.py:1(<module>)
      877    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.005    0.005 resolver.py:2(<module>)
        1    0.000    0.000    0.005    0.005 osr.py:13(swig_import_helper)
        1    0.000    0.000    0.005    0.005 hashlib.py:54(<module>)
      500    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      427    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      395    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.005    0.005 core.py:21(<module>)
     3698    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.005    0.005 bz2.py:5(<module>)
        1    0.000    0.000    0.005    0.005 runner.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:24(<module>)
       18    0.002    0.000    0.005    0.000 enum.py:135(__new__)
       27    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
      386    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      250    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
        1    0.000    0.000    0.004    0.004 _internal.py:6(<module>)
        1    0.000    0.000    0.004    0.004 validators.py:3(<module>)
        1    0.000    0.000    0.004    0.004 crs.py:21(<module>)
       61    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
      552    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.004    0.004 signals.py:1(<module>)
        2    0.000    0.000    0.004    0.002 __init__.py:3(<module>)
        1    0.000    0.000    0.004    0.004 datadir.py:3(<module>)
      715    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      302    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.003    0.003 threading.py:1(<module>)
        1    0.000    0.000    0.003    0.003 configparser.py:139(<module>)
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
     3420    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.003    0.003 signal.py:1(<module>)
        1    0.000    0.000    0.003    0.003 inspect.py:27(<module>)
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
      103    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
       18    0.000    0.000    0.003    0.000 _make.py:1091(_make_cmp)
      137    0.000    0.000    0.003    0.000 enum.py:284(__call__)
        1    0.000    0.000    0.003    0.003 env.py:222(__enter__)
        1    0.000    0.000    0.003    0.003 env.py:270(defenv)
        1    0.003    0.003    0.003    0.003 {method 'start' of 'fiona._env.GDALEnv' objects}
        3    0.000    0.000    0.003    0.001 enum.py:633(_convert)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
      250    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.003    0.003 types.py:1(<module>)
    13133    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     6024    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
       31    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.003    0.003 pasturestats.py:1(<module>)
        1    0.000    0.000    0.003    0.003 constructor.py:3(<module>)
        1    0.000    0.000    0.003    0.003 getlimits.py:96(_register_known_types)
        1    0.000    0.000    0.003    0.003 env.py:218(drivers)
        1    0.003    0.003    0.003    0.003 {method 'drivers' of 'fiona._env.GDALEnv' objects}
       16    0.000    0.000    0.003    0.000 _make.py:700(add_cmp)
      329    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
      277    0.001    0.000    0.003    0.000 function_base.py:431(add_newdoc)
        1    0.000    0.000    0.003    0.003 string.py:15(<module>)
        3    0.000    0.000    0.003    0.001 enum.py:389(_create_)
        1    0.000    0.000    0.003    0.003 spawn.py:7(<module>)
        1    0.000    0.000    0.003    0.003 ElementTree.py:34(<module>)
     4137    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
     4967    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
       16    0.000    0.000    0.002    0.000 _make.py:459(__init__)
      302    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        6    0.000    0.000    0.002    0.000 getlimits.py:37(__init__)
     3176    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.002    0.002 rfc3339.py:7(<module>)
 1221/137    0.001    0.000    0.002    0.000 {built-in method builtins.repr}
       31    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 linecache.py:6(<module>)
       15    0.000    0.000    0.002    0.000 _make.py:685(add_init)
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
       15    0.000    0.000    0.002    0.000 _make.py:1271(_make_init)
        1    0.000    0.000    0.002    0.002 numerictypes.py:81(<module>)
      715    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.002    0.002 string.py:65(__init__)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
       16    0.000    0.000    0.002    0.000 _make.py:299(_transform_attrs)
     4750    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
       98    0.001    0.000    0.002    0.000 _make.py:1217(__repr__)
        1    0.000    0.000    0.002    0.002 configparser.py:559(RawConfigParser)
        1    0.000    0.000    0.002    0.002 enums.py:1(<module>)
      715    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      309    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
     3959    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 geod.py:30(<module>)
        2    0.000    0.000    0.002    0.001 session.py:1(<module>)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
        1    0.000    0.000    0.002    0.002 mask.py:1(<module>)
        1    0.000    0.000    0.002    0.002 constructor.py:163(SafeConstructor)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
  581/177    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
        3    0.000    0.000    0.002    0.001 utils.py:1(<module>)
     7902    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      386    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
       17    0.000    0.000    0.002    0.000 _make.py:222(_make_attr_tuple_class)
      302    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       32    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.001    0.001 dumper.py:2(<module>)
      200    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10ef58e10}
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
        1    0.000    0.000    0.001    0.001 __init__.py:23(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
      250    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.001    0.001 features.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
       11    0.000    0.000    0.001    0.000 _make.py:1000(_make_hash)
        4    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
7084/6550    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
      195    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
        1    0.000    0.000    0.001    0.001 transform.py:1(<module>)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 windows.py:18(<module>)
       29    0.000    0.000    0.001    0.000 abc.py:125(__new__)
       53    0.000    0.000    0.001    0.000 core.py:892(__init__)
       10    0.000    0.000    0.001    0.000 _make.py:676(add_hash)
       44    0.000    0.000    0.001    0.000 core.py:146(get_object_signature)
     2806    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
        2    0.000    0.000    0.001    0.001 warnings.py:96(_showwarnmsg)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        2    0.000    0.000    0.001    0.001 warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:57(<module>)
        1    0.000    0.000    0.001    0.001 dbapi2.py:23(<module>)
       19    0.000    0.000    0.001    0.000 {built-in method _warnings.warn}
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       16    0.000    0.000    0.001    0.000 _make.py:498(build_class)
        2    0.000    0.000    0.001    0.000 warnings.py:117(_formatwarnmsg)
        2    0.000    0.000    0.001    0.000 warnings.py:35(_formatwarnmsg_impl)
       15    0.000    0.000    0.001    0.000 arrayprint.py:1499(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
        2    0.000    0.000    0.001    0.000 exceptions.py:1(<module>)
       15    0.001    0.000    0.001    0.000 _make.py:557(_create_slots_class)
        2    0.000    0.000    0.001    0.000 linecache.py:15(getline)
        2    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
      385    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        2    0.000    0.000    0.001    0.000 linecache.py:82(updatecache)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        4    0.000    0.000    0.001    0.000 core.py:123(doc_note)
       15    0.001    0.000    0.001    0.000 arrayprint.py:463(wrapper)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
      750    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.000    0.000    0.001    0.001 proj.py:36(<module>)
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
      745    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      385    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      500    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        4    0.000    0.000    0.001    0.000 re.py:205(split)
        1    0.000    0.000    0.001    0.001 transformer.py:18(<module>)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       26    0.000    0.000    0.001    0.000 core.py:6567(__init__)
     1881    0.001    0.000    0.001    0.000 {built-in method math.isnan}
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
     1122    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
      115    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      639    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
       26    0.000    0.000    0.001    0.000 core.py:6572(getdoc)
     1342    0.000    0.000    0.001    0.000 sre_parse.py:249(match)
      340    0.000    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.001    0.001 csv.py:4(<module>)
       18    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
        1    0.000    0.000    0.001    0.001 enums.py:3(<module>)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
     3926    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     1122    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      223    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
        1    0.000    0.000    0.001    0.001 uuid.py:45(<module>)
        2    0.000    0.000    0.001    0.000 _make.py:1194(_add_cmp)
       51    0.000    0.000    0.001    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        2    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
     2222    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       62    0.000    0.000    0.001    0.000 enum.py:836(__and__)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:370(<dictcomp>)
     2222    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
       39    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
       18    0.000    0.000    0.001    0.000 core.py:995(__init__)
      926    0.000    0.000    0.001    0.000 sre_parse.py:172(append)
       61    0.000    0.000    0.001    0.000 {built-in method builtins.eval}
       27    0.000    0.000    0.001    0.000 core.py:919(__init__)
      241    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      761    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 warp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 formatting.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
     1034    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       49    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.000    0.000 selectors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
     1285    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      356    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
      203    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
      363    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      725    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      776    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     1072    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      750    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
      134    0.000    0.000    0.000    0.000 enum.py:526(__new__)
       20    0.000    0.000    0.000    0.000 __init__.py:1925(getLogger)
       29    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      361    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.000    0.000 {pyproj._list.get_proj_operations_map}
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
      102    0.000    0.000    0.000    0.000 re.py:170(match)
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
       20    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
       18    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
        1    0.000    0.000    0.000    0.000 errors.py:4(<module>)
        1    0.000    0.000    0.000    0.000 type_check.py:3(<module>)
     1446    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
        1    0.000    0.000    0.000    0.000 cyaml.py:3(<module>)
       16    0.000    0.000    0.000    0.000 _make.py:355(<listcomp>)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
      518    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
        2    0.000    0.000    0.000    0.000 imp.py:254(find_module)
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:654(<listcomp>)
      375    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       15    0.000    0.000    0.000    0.000 _make.py:1395(_attrs_to_init_script)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
     1234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        5    0.000    0.000    0.000    0.000 enum.py:830(__or__)
     1226    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _make.py:1065(_add_hash)
       28    0.000    0.000    0.000    0.000 _make.py:1766(from_counting_attr)
       18    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
      177    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      115    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      514    0.000    0.000    0.000    0.000 compat.py:16(pystrdecode)
        1    0.000    0.000    0.000    0.000 {built-in method _sqlite3.connect}
      144    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
    82/56    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        6    0.000    0.000    0.000    0.000 env.py:473(parse)
        1    0.000    0.000    0.000    0.000 tokens.py:2(<module>)
        1    0.000    0.000    0.000    0.000 events.py:4(<module>)
      731    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      832    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 {pyproj._list.get_ellps_map}
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
      250    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       62    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        3    0.000    0.000    0.000    0.000 env.py:505(runtime)
       39    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
      386    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 configparser.py:375(BasicInterpolation)
        3    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
        3    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
      356    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
