209
         1795833 function calls (1789738 primitive calls) in 5.394 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    279/1    0.003    0.000    5.394    5.394 {built-in method builtins.exec}
        1    0.207    0.207    5.394    5.394 pasturestats_performance_test.py:1(<module>)
        1    1.213    1.213    4.830    4.830 pasturestats.py:144(query_interyear_pasture_stats)
        1    1.979    1.979    1.979    1.979 {method 'fetchall' of 'sqlite3.Cursor' objects}
        1    0.440    0.440    0.523    0.523 pasturestats.py:171(<listcomp>)
    384/3    0.002    0.000    0.358    0.119 <frozen importlib._bootstrap>:978(_find_and_load)
    384/3    0.001    0.000    0.357    0.119 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    309/3    0.002    0.000    0.357    0.119 <frozen importlib._bootstrap>:663(_load_unlocked)
    250/3    0.001    0.000    0.357    0.119 <frozen importlib._bootstrap_external>:722(exec_module)
    451/3    0.000    0.000    0.357    0.119 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       10    0.000    0.000    0.351    0.035 __init__.py:1(<module>)
        1    0.341    0.341    0.341    0.341 pasturestats.py:184(<listcomp>)
   561408    0.314    0.000    0.314    0.000 {method 'format' of 'str' objects}
      209    0.008    0.000    0.245    0.001 pasturestats.py:27(_aggregate)
   853161    0.232    0.000    0.232    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.205    0.205 location.py:1(<module>)
     1881    0.159    0.000    0.159    0.000 pasturestats.py:30(<listcomp>)
   361/48    0.001    0.000    0.153    0.003 {built-in method builtins.__import__}
 1266/441    0.001    0.000    0.152    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.148    0.148 __init__.py:106(<module>)
  309/305    0.001    0.000    0.112    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
    54/51    0.000    0.000    0.103    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
    54/51    0.098    0.002    0.103    0.002 {built-in method _imp.create_dynamic}
    54/37    0.000    0.000    0.086    0.002 <frozen importlib._bootstrap_external>:1048(exec_module)
    54/37    0.010    0.000    0.086    0.002 {built-in method _imp.exec_dynamic}
